url,bing_clicks,bing_impressions,bing_avg_position
https://prisonsonline.com/prisons/uk/hmp-bedford/booking-a-visit,3,1,2.00
https://prisonsonline.com/prisons/uk/hmp-belmarsh/booking-a-visit,2,5,6.00
https://prisonsonline.com/prisons/uk/hmp-berwyn/booking-a-visit,4,22,4.00
https://prisonsonline.com/prisons/uk/hmp-berwyn/contact-details,8,716,6.53
https://prisonsonline.com/prisons/uk/hmp-birmingham/contact-details,1,21,7.00
https://prisonsonline.com/prisons/uk/hmp-birmingham/visiting-times,2,1,2.00
https://prisonsonline.com/prisons/uk/hmp-brixton/visiting-times,1,1,1.00
https://prisonsonline.com/prisons/uk/hmp-buckley-hall/contact-details,2,9,6.67
https://prisonsonline.com/prisons/uk/hmp-bullingdon/booking-a-visit,2,2,3.50
https://prisonsonline.com/prisons/uk/hmp-bullingdon/contact-details,17,758,5.43
https://prisonsonline.com/prisons/uk/hmp-cardiff/contact-details,6,190,6.09
https://prisonsonline.com/prisons/uk/hmp-channings-wood/contact-details,4,39,6.36
https://prisonsonline.com/prisons/uk/hmp-coldingley/contact-details,3,67,7.64
https://prisonsonline.com/prisons/uk/hmp-dovegate/contact-details,1,11,8.00
https://prisonsonline.com/prisons/uk/hmp-durham/booking-a-visit,4,16,5.00
https://prisonsonline.com/prisons/uk/hmp-durham/contact-details,16,661,5.72
https://prisonsonline.com/prisons/uk/hmp-elmley/contact-details,4,250,7.23
https://prisonsonline.com/prisons/uk/hmp-erlestoke/contact-details,3,26,7.00
https://prisonsonline.com/prisons/uk/hmp-exeter/contact-details,3,82,6.00
https://prisonsonline.com/prisons/uk/hmp-featherstone/contact-details,1,3,7.00
https://prisonsonline.com/prisons/uk/hmp-five-wells/contact-details,17,605,4.65
https://prisonsonline.com/prisons/uk/hmp-forest-bank/contact-details,1,108,7.63
https://prisonsonline.com/prisons/uk/hmp-frankland/contact-details,1,33,6.00
https://prisonsonline.com/prisons/uk/hmp-full-sutton/contact-details,5,74,6.41
https://prisonsonline.com/prisons/uk/hmp-garth/contact-details,8,252,5.68
https://prisonsonline.com/prisons/uk/hmp-gartree/contact-details,8,382,5.86
https://prisonsonline.com/prisons/uk/hmp-guys-marsh/contact-details,5,483,7.05
