slug,name,wikimedia_page_url,credit,licence,alt
/prisons/uk/hmp-ashfield,hmp ashfield,"https://commons.wikimedia.org/wiki/File:HMP_Ashfield,_Pucklechurch_-_geograph.org.uk_-_5067559.jpg",Jaggery,CC BY-SA 4.0,Exterior view of HMP Ashfield prison
/prisons/uk/hmp-bedford,hmp bedford,https://commons.wikimedia.org/wiki/File:BedfordGaol.JPG,Simonxag,CC BY-SA 4.0,Exterior view of HMP Bedford prison in Luton
/prisons/uk/hmp-belmarsh,hmp belmarsh,"https://commons.wikimedia.org/wiki/File:HMP_Belmarsh,_from_carpark.jpg",Neil Clifton,CC BY-SA 4.0,Exterior view of HMP Belmarsh
/prisons/uk/hmp-wakefield,hmp wakefield,"https://commons.wikimedia.org/wiki/File:The_Main_Entrance_Gate,_Wakefield_Prison_-_geograph.org.uk_-_3545534.jpg",Bill Henderson,CC BY-SA 4.0,Exterior view of HMP Wakefield
/prisons/uk/hmp-wormwood-scrubs,hmp wormwood scrubs,https://commons.wikimedia.org/wiki/File:HM_Prison_Wormwood_Scrubs_in_spring_2013_(1).JPG,Chmee2,CC BY-SA 4.0,Exterior view of HMP Wormwood Scrubs
/prisons/uk/hmp-bronzefield,hmp bronzefield,https://commons.wikimedia.org/wiki/File:Entrance_to_Bronzefield_Prison.jpg,DanielMichaelPerry,CC BY-SA 4.0,Exterior view of HMP Bronzefield
/prisons/uk/hmp-berwyn,hmp berwyn,https://commons.wikimedia.org/wiki/File:HMP_Berwyn_(geograph_7100546).jpg,Mike Parker,CC BY-SA 4.0,Exterior view of HMP Berwyn
/prisons/uk/hmp-manchester,hmp manchester,https://commons.wikimedia.org/wiki/File:HMP_Manchester_(1).jpg,Rept0n1x,CC BY-SA 4.0,Exterior view of HMP Manchester
/prisons/uk/hmp-wandsworth,hmp wandsworth,"https://commons.wikimedia.org/wiki/File:HMP_Wandsworth,_SW18_-_geograph.org.uk_-_2077186.jpg",Phillip Perry,CC BY-SA 4.0,Exterior view of HMP Wandsworth
/prisons/uk/hmp-birmingham,hmp birmingham,"https://commons.wikimedia.org/wiki/File:HM_Prison_Birmingham,_Winson_Green_-_geograph.org.uk_-_7717860.jpg",Chris Allen,CC BY-SA 4.0,Exterior view of HMP Birmingham
/prisons/uk/hmp-bristol,hmp bristol,"https://commons.wikimedia.org/wiki/File:HMP_Bristol,_rear_view_-_geograph.org.uk_-_742695.jpg",Matt Redmond,CC BY-SA 4.0,Exterior view of HMP Bristol
/prisons/uk/hmp-haverigg,hmp haverigg,https://commons.wikimedia.org/wiki/File:HM_Prison_Haverigg_-_geograph.org.uk_-_2983690.jpg,Perry Dark,CC BY-SA 4.0,Exterior view of HMP Haverigg
/prisons/uk/hmp-channings-wood,hmp channings wood,"https://commons.wikimedia.org/wiki/File:HM_Prison,_Channings_Wood_-_geograph.org.uk_-_1615692.jpg",Roger Cornfoot,CC BY-SA 4.0,Exterior view of HMP Channings Wood
/prisons/uk/hmp-leicester,hmp leicester,https://commons.wikimedia.org/wiki/File:Hmp_leicester.jpg,JRawle,CC BY-SA 4.0,Exterior view of HMP Leicester
/prisons/uk/hmp-buckley-hall,hmp buckley hall,https://upload.wikimedia.org/wikipedia/commons/c/c7/Buckley_Hall_Prison%2C_Rochdale_-_geograph.org.uk_-_89118.jpg,michael ely,CC BY-SA 4.0,Exterior view of HMP Buckley Hall
