url,prison,prison_slug,country,intent,page_family,bing_clicks,bing_impressions,bing_avg_position,gsc_clicks,gsc_impressions,ga4_organic_sessions,facility_specific_facts,verified_source,classification,reason
https://prisonsonline.com/prisons/uk/hmp-ashfield/visiting-times,HMP Ashfield,hmp-ashfield,uk,visiting-times,prison_visiting_times,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-ashfield/contact-details,HMP Ashfield,hmp-ashfield,uk,contact-details,prison_contact_details,0,0,,0,0,5,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-ashfield/booking-a-visit,HMP Ashfield,hmp-ashfield,uk,booking-a-visit,prison_booking_a_visit,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-ashfield/what-to-expect,HMP Ashfield,hmp-ashfield,uk,what-to-expect,prison_what_to_expect,0,0,,0,0,1,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-bedford/visiting-times,HMP Bedford,hmp-bedford,uk,visiting-times,prison_visiting_times,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-bedford/contact-details,HMP Bedford,hmp-bedford,uk,contact-details,prison_contact_details,0,0,,0,0,1,yes,yes,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-bedford/booking-a-visit,HMP Bedford,hmp-bedford,uk,booking-a-visit,prison_booking_a_visit,3,1,2,0,0,1,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-bedford/what-to-expect,HMP Bedford,hmp-bedford,uk,what-to-expect,prison_what_to_expect,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-belmarsh/visiting-times,HMP Belmarsh,hmp-belmarsh,uk,visiting-times,prison_visiting_times,0,0,,0,0,2,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-belmarsh/contact-details,HMP Belmarsh,hmp-belmarsh,uk,contact-details,prison_contact_details,0,0,,0,0,0,yes,yes,KEEP,Primary-source fact block implemented
https://prisonsonline.com/prisons/uk/hmp-belmarsh/booking-a-visit,HMP Belmarsh,hmp-belmarsh,uk,booking-a-visit,prison_booking_a_visit,2,5,6,0,0,5,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-belmarsh/what-to-expect,HMP Belmarsh,hmp-belmarsh,uk,what-to-expect,prison_what_to_expect,0,0,,1,0,0,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-berwyn/visiting-times,HMP Berwyn,hmp-berwyn,uk,visiting-times,prison_visiting_times,0,0,,0,0,2,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-berwyn/contact-details,HMP Berwyn,hmp-berwyn,uk,contact-details,prison_contact_details,8,716,6.53,0,0,5,yes,yes,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-berwyn/booking-a-visit,HMP Berwyn,hmp-berwyn,uk,booking-a-visit,prison_booking_a_visit,4,22,4,0,0,8,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-berwyn/what-to-expect,HMP Berwyn,hmp-berwyn,uk,what-to-expect,prison_what_to_expect,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-birmingham/visiting-times,HMP Birmingham,hmp-birmingham,uk,visiting-times,prison_visiting_times,2,1,2,0,0,0,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-birmingham/contact-details,HMP Birmingham,hmp-birmingham,uk,contact-details,prison_contact_details,1,21,7,0,0,2,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-birmingham/booking-a-visit,HMP Birmingham,hmp-birmingham,uk,booking-a-visit,prison_booking_a_visit,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-birmingham/what-to-expect,HMP Birmingham,hmp-birmingham,uk,what-to-expect,prison_what_to_expect,0,0,,0,0,1,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-bristol/visiting-times,HMP Bristol,hmp-bristol,uk,visiting-times,prison_visiting_times,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-bristol/contact-details,HMP Bristol,hmp-bristol,uk,contact-details,prison_contact_details,0,0,,0,0,1,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-bristol/booking-a-visit,HMP Bristol,hmp-bristol,uk,booking-a-visit,prison_booking_a_visit,0,0,,0,0,1,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-bristol/what-to-expect,HMP Bristol,hmp-bristol,uk,what-to-expect,prison_what_to_expect,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-brixton/visiting-times,HMP Brixton,hmp-brixton,uk,visiting-times,prison_visiting_times,1,1,1,0,0,1,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-brixton/contact-details,HMP Brixton,hmp-brixton,uk,contact-details,prison_contact_details,0,0,,0,0,1,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-brixton/booking-a-visit,HMP Brixton,hmp-brixton,uk,booking-a-visit,prison_booking_a_visit,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-brixton/what-to-expect,HMP Brixton,hmp-brixton,uk,what-to-expect,prison_what_to_expect,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-buckley-hall/visiting-times,HMP Buckley Hall,hmp-buckley-hall,uk,visiting-times,prison_visiting_times,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-buckley-hall/contact-details,HMP Buckley Hall,hmp-buckley-hall,uk,contact-details,prison_contact_details,2,9,6.67,0,0,5,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-buckley-hall/booking-a-visit,HMP Buckley Hall,hmp-buckley-hall,uk,booking-a-visit,prison_booking_a_visit,0,0,,0,0,1,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-buckley-hall/what-to-expect,HMP Buckley Hall,hmp-buckley-hall,uk,what-to-expect,prison_what_to_expect,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-bullingdon/visiting-times,HMP Bullingdon,hmp-bullingdon,uk,visiting-times,prison_visiting_times,0,0,,0,0,0,yes,no,REVIEW,No measured demand in supplied exports and current content is substantially generic
https://prisonsonline.com/prisons/uk/hmp-bullingdon/contact-details,HMP Bullingdon,hmp-bullingdon,uk,contact-details,prison_contact_details,17,758,5.43,0,0,10,yes,yes,KEEP,"90-day Bing, GSC or GA4 evidence"
https://prisonsonline.com/prisons/uk/hmp-bullingdon/booking-a-visit,HMP Bullingdon,hmp-bullingdon,uk,booking-a-visit,prison_booking_a_visit,2,2,3.5,0,0,2,yes,no,KEEP,"90-day Bing, GSC or GA4 evidence"
