slug,name,country,state,city,address,postcode,phone,fax,facilityType,dataProvenance
alderson-fpc,Alderson Fpc,us,WV,ALDERSON,GLEN RAY RD. BOX A,24910,304-445-3300,304-445-3320,fpc,bop_import
aliceville-fci,Aliceville Fci,us,AL,ALICEVILLE,11070 HIGHWAY 14,35442,205-373-5000,205-373-5020,fci,bop_import
allenwood-low-fci,Allenwood Low Fci,us,PA,ALLENWOOD,RT 15 2 MILES N OF ALLENWOOD,17810,570-547-1990,570-547-0343,fci,bop_import
allenwood-med-fci,Allenwood Med Fci,us,PA,WHITE DEER,RT 15 2 MI N OF ALLENWOOD,17810,570-547-7950,570-547-7751,fci,bop_import
allenwood-usp,Allenwood Usp,us,PA,ALLENWOOD,RT 15 2 MILES N OF ALLENWOOD,17810,570-547-0963,570-547-9201,usp,bop_import
ashland-fci,Ashland Fci,us,KY,ASHLAND,ST. ROUTE 716,41105,606-928-6414,606-929-4395,fci,bop_import
atlanta-ccm,Atlanta Ccm,us,GA,ATLANTA,719 MCDONOUGH BLVD S.E.,30315,470-832-5841,404-635-5390,other,bop_import
atlanta-fci,Atlanta Fci,us,GA,ATLANTA,601 MCDONOUGH BLVD SE,30315,404-635-5100,404-331-2403,fci,bop_import
atwater-usp,Atwater Usp,us,CA,ATWATER,1 FEDERAL WAY,95301,209-386-0257,209-386-4635,usp,bop_import
baltimore-ccm,Baltimore Ccm,us,DC,WASHINGTON,400 FIRST STREET NW 5TH FLOOR,20534,202-428-6161,,other,bop_import
bastrop-fci,Bastrop Fci,us,TX,BASTROP,1341 HIGHWAY 95 NORTH,78602,512-321-3903,512-304-0117,fci,bop_import
beaumont-low-fci,Beaumont Low Fci,us,TX,BEAUMONT,5560 KNAUTH ROAD,77705,409-727-8172,409-626-3500,fci,bop_import
beaumont-med-fci,Beaumont Med Fci,us,TX,BEAUMONT,5830 KNAUTH ROAD,77705,409-727-0101,409-720-5000,fci,bop_import
beaumont-usp,Beaumont Usp,us,TX,BEAUMONT,6200 KNAUTH ROAD,77705,409-727-8188,409-626-3700,usp,bop_import
beckley-fci,Beckley Fci,us,WV,BEAVER,1600 INDUSTRIAL ROAD,25813,304-252-9758,304-256-4956,fci,bop_import
bennettsville-fci,Bennettsville Fci,us,SC,BENNETTSVILLE,696 MUCKERMAN ROAD,29512,843-454-8200,843-454-8219,fci,bop_import
berlin-fci,Berlin Fci,us,NH,BERLIN,1 SUCCESS LOOP ROAD,03570,603-342-4000,603-342-4250,fci,bop_import
big-sandy-usp,Big Sandy Usp,us,KY,INEZ,1197 AIRPORT ROAD,41224,606-433-2400,606-433-2577,usp,bop_import
big-spring-fci,Big Spring Fci,us,TX,BIG SPRING,1900 SIMLER AVE,79720,432-466-2300,432-466-2576,fci,bop_import
brooklyn-mdc,Brooklyn Mdc,us,NY,BROOKLYN,80 29TH STREET,11232,718-840-4200,718-840-5005,mdc,bop_import
